19.04.2015                                                                                                                                               Dynamic List Display                                                                                                                                                      1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  OHDEST   |OBJVERS|DESTTYPE|LOGSYS   |COMSTRU|OBJSTAT|CONTREL|       CONTTIMESTMP|OWNER   |BWAPPL|ACTIVFL|TSTPNM     |           TIMESTMP|SOURCETLOGO|SOURCETLOGOSUB|SOURCEOBJNM|DATASOURCE|SOURCELOGSYS|INFOAREA             |NEW_OHD|TLOGO|OBJNM|SUBTYPE|TXTSH               |TXTLG                                            |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  0RT_O01  |D      |TAB     |         |       |ACT    |7.0/04 |20,091,222,071,159 |PAULAN  |      |X      |PAULAN     |20,091,222,071,204 |           |              |           |          |            |0RT_FOUND            |X      |     |     |       |                    |Sales Data for SAP DM                            |
|  0RT_O02  |D      |FILL    |         |       |ACT    |7.0/04 |20,091,222,071,250 |PAULAN  |      |X      |PAULAN     |20,091,222,071,250 |           |              |           |          |            |0RT_FOUND            |X      |     |     |       |                    |File Format sales.txt SAP DM                     |
|  DW00016  |A      |FILL    |         |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,060,205,003,634 |           |              |           |          |            |                     |       |     |     |       |                    |                                                 |
|  DW00016  |M      |FILL    |         |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,060,205,003,633 |           |              |           |          |            |                     |       |     |     |       |                    |                                                 |
|  DW0014   |A      |FILL    |         |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,060,205,003,522 |           |              |           |          |            |                     |       |     |     |       |                    |                                                 |
|  DW0014   |M      |FILL    |         |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,060,205,003,521 |           |              |           |          |            |                     |       |     |     |       |                    |                                                 |
|  DW0038   |A      |FILL    |         |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,060,205,003,522 |           |              |           |          |            |                     |       |     |     |       |                    |                                                 |
|  DW0038   |M      |FILL    |         |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,060,205,003,521 |           |              |           |          |            |                     |       |     |     |       |                    |                                                 |
|  DW03158  |A      |FILL    |         |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,060,217,201,936 |           |              |           |          |            |                     |       |     |     |       |                    |                                                 |
|  DW03158  |M      |FILL    |         |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,060,217,201,935 |           |              |           |          |            |                     |       |     |     |       |                    |                                                 |
|  DW03165  |A      |TAB     |AUTHORIA |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,140,823,223,001 |           |              |           |          |            |                     |       |     |     |       |EAMER sales history |EAMER sales history                              |
|  DW03165  |M      |TAB     |AUTHORIA |       |ACT    |       |                 0 |        |      |X      |10062964   |20,060,214,104,239 |           |              |           |          |            |                     |       |     |     |       |EAMER sales history |EAMER sales history                              |
|  DW03191  |A      |TAB3    |SFA      |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,721,132,054 |           |              |           |          |            |                     |       |     |     |       |Nota Fiscal Item    |Nota Fiscal Item                                 |
|  DW03191  |M      |TAB3    |SFA      |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,721,132,052 |           |              |           |          |            |                     |       |     |     |       |Nota Fiscal Item    |Nota Fiscal Item                                 |
|  DW03196  |A      |TAB3    |SFA      |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,721,132,054 |           |              |           |          |            |                     |       |     |     |       |Nota Fiscal Tax     |Nota Fiscal Tax                                  |
|  DW03196  |M      |TAB3    |SFA      |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,721,132,052 |           |              |           |          |            |                     |       |     |     |       |Nota Fiscal Tax     |Nota Fiscal Tax                                  |
|  DW03197  |A      |TAB3    |SFA      |       |ACT    |       |                 0 |        |      |X      |10093724   |20,100,827,064,229 |           |              |           |          |            |                     |       |     |     |       |Nota Fiscal Header  |Nota Fiscal Header                               |
|  DW03197  |M      |TAB3    |SFA      |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,721,132,052 |           |              |           |          |            |                     |       |     |     |       |Nota Fiscal Header  |Nota Fiscal Header                               |
|  DW03399  |A      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,204,000,557 |           |              |           |          |            |                     |       |     |     |       |EAMER sales history |EAMER sales history                              |
|  DW03399  |M      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,204,000,556 |           |              |           |          |            |                     |       |     |     |       |EAMER sales history |EAMER sales history                              |
|  DW03400D |A      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,128,002,034 |           |              |           |          |            |                     |       |     |     |       |EAMER sales ODSL1 D |EAMER sales ODSL1 D                              |
|  DW03400D |M      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,128,002,033 |           |              |           |          |            |                     |       |     |     |       |EAMER sales ODSL1 D |EAMER sales ODSL1 D                              |
|  DW03400F |A      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,204,000,640 |           |              |           |          |            |                     |       |     |     |       |EAMER sales ODSL1 F |EAMER sales ODSL1 F                              |
|  DW03400F |M      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,204,000,639 |           |              |           |          |            |                     |       |     |     |       |EAMER sales ODSL1 F |EAMER sales ODSL1 F                              |
|  DW03403D |A      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,204,002,357 |           |              |           |          |            |                     |       |     |     |       |EAMER sales ODS L2 D|EAMER sales ODS L2 D                             |
|  DW03403D |M      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,204,002,357 |           |              |           |          |            |                     |       |     |     |       |EAMER sales ODS L2 D|EAMER sales ODS L2 D                             |
|  DW03403F |A      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,204,000,511 |           |              |           |          |            |                     |       |     |     |       |EAMER sales ODS L2 F|EAMER sales ODS L2 F                             |
|  DW03403F |M      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,204,000,510 |           |              |           |          |            |                     |       |     |     |       |EAMER sales ODS L2 F|EAMER sales ODS L2 F                             |
|  DW03405  |A      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,205,194,008 |           |              |           |          |            |                     |       |     |     |       |US&C sales history  |US&C sales history                               |
|  DW03405  |M      |TAB     |GDWSA    |       |ACT    |       |                 0 |        |      |X      |DDIC       |20,070,205,194,007 |           |              |           |          |            |                     |       |     |     |       |US&C sales history  |US&C sales history                               |
